timestamp,instance,is_in_recovery,lsn
1786211649,pg-cnpg-1,f,0/30012C00
1786211649,pg-cnpg-2,t,0/30012C00
1786211649,pg-cnpg-3,t,0/30012C00
1786211649,pg-cnpg-1,f,0/30012C00
1786211649,pg-cnpg-2,t,0/30012C00
1786211649,pg-cnpg-3,t,0/30012C00
1786211649,pg-cnpg-1,f,0/30012C00
1786211649,pg-cnpg-2,t,0/30012C00
1786211649,pg-cnpg-3,t,0/30012C00
1786211650,pg-cnpg-1,f,0/30012C00
1786211650,pg-cnpg-2,t,0/30012CB8
1786211650,pg-cnpg-3,t,0/30012CB8
1786211650,pg-cnpg-1,f,0/30012D70
1786211650,pg-cnpg-2,t,0/30012E28
1786211650,pg-cnpg-3,t,0/30012E28
1786211650,pg-cnpg-1,f,0/30012EE0
1786211650,pg-cnpg-2,t,0/30012F98
1786211650,pg-cnpg-3,t,0/30012F98
1786211650,pg-cnpg-1,f,0/30013108
1786211650,pg-cnpg-2,t,0/30013108
1786211650,pg-cnpg-3,t,0/30013108
1786211651,pg-cnpg-1,f,0/30013278
1786211651,pg-cnpg-2,t,0/30013278
1786211651,pg-cnpg-3,t,0/30013278
1786211651,pg-cnpg-1,f,0/30013330
1786211651,pg-cnpg-2,t,0/300133E8
1786211651,pg-cnpg-3,t,0/300133E8
1786211651,pg-cnpg-1,f,0/300134A0
1786211651,pg-cnpg-2,t,0/30013558
1786211651,pg-cnpg-3,t,0/30013558
1786211652,pg-cnpg-1,f,0/30013610
1786211652,pg-cnpg-2,t,0/300136C8
1786211652,pg-cnpg-3,t,0/300136C8
1786211652,pg-cnpg-1,f,0/30013780
1786211652,pg-cnpg-2,t,0/30013838
1786211652,pg-cnpg-3,t,0/30013838
1786211652,pg-cnpg-1,f,0/30013A10
1786211652,pg-cnpg-2,t,0/30013A10
1786211652,pg-cnpg-3,t,0/30013A10
1786211653,pg-cnpg-1,f,0/30013B80
1786211653,pg-cnpg-2,t,0/30013B80
1786211653,pg-cnpg-3,t,0/30013B80
1786211653,pg-cnpg-1,f,0/30013CF0
1786211653,pg-cnpg-2,t,0/30013CF0
1786211653,pg-cnpg-3,t,0/30013CF0
1786211653,pg-cnpg-1,f,0/30013E60
1786211653,pg-cnpg-2,t,0/30013E60
1786211653,pg-cnpg-3,t,0/30013E60
1786211654,pg-cnpg-1,f,0/30013FD0
1786211654,pg-cnpg-2,t,0/30013FD0
1786211654,pg-cnpg-3,t,0/30013FD0
1786211654,pg-cnpg-1,f,0/30014158
1786211654,pg-cnpg-2,t,0/30014158
1786211654,pg-cnpg-3,t,0/30014158
1786211654,pg-cnpg-1,f,0/300142C8
1786211654,pg-cnpg-2,t,0/300142C8
1786211654,pg-cnpg-3,t,0/300142C8
1786211654,pg-cnpg-1,f,0/30014438
1786211654,pg-cnpg-2,t,0/30014438
1786211654,pg-cnpg-3,t,0/30014438
1786211655,pg-cnpg-1,f,0/300145A8
1786211655,pg-cnpg-2,t,0/300145A8
1786211655,pg-cnpg-3,t,0/30014660
1786211655,pg-cnpg-1,f,0/30014718
1786211655,pg-cnpg-2,t,0/30014718
1786211655,pg-cnpg-3,t,0/30014718
1786211655,pg-cnpg-1,f,0/30014888
1786211655,pg-cnpg-2,t,0/30014888
1786211655,pg-cnpg-3,t,0/30014888
1786211656,pg-cnpg-1,f,0/300149F8
1786211656,pg-cnpg-2,t,0/300149F8
1786211656,pg-cnpg-3,t,0/300149F8
1786211656,pg-cnpg-1,f,0/30014B68
1786211656,pg-cnpg-2,t,0/30014B68
1786211656,pg-cnpg-3,t,0/30014C20
1786211656,pg-cnpg-1,f,0/30014CD8
1786211656,pg-cnpg-2,t,0/30014CD8
1786211656,pg-cnpg-3,t,0/30014D90
1786211657,pg-cnpg-1,f,0/30014E48
1786211657,pg-cnpg-2,t,0/30014F00
1786211657,pg-cnpg-3,t,0/30014F00
1786211657,pg-cnpg-1,f,0/30014FB8
1786211657,pg-cnpg-2,t,0/30014FB8
1786211657,pg-cnpg-3,t,0/30015070
1786211657,pg-cnpg-1,f,0/30015128
1786211657,pg-cnpg-2,t,0/30015128
1786211657,pg-cnpg-3,t,0/30015248
1786211658,pg-cnpg-1,f,0/30015300
1786211658,pg-cnpg-2,t,0/300153B8
1786211658,pg-cnpg-3,t,0/300153B8
1786211658,pg-cnpg-1,f,0/30015470
1786211658,pg-cnpg-2,t,0/30015528
1786211658,pg-cnpg-3,t,0/30015528
1786211658,pg-cnpg-1,f,0/300155E0
1786211658,pg-cnpg-2,t,0/30015698
1786211658,pg-cnpg-3,t,0/30015698
1786211659,pg-cnpg-1,f,0/30015750
1786211659,pg-cnpg-2,t,0/30015808
1786211659,pg-cnpg-3,t,0/30015808
1786211659,pg-cnpg-1,f,0/300158C0
1786211659,pg-cnpg-2,t,0/30015978
1786211659,pg-cnpg-3,t,0/30015978
1786211659,pg-cnpg-1,f,0/30015A30
1786211659,pg-cnpg-2,t,0/30015A30
1786211659,pg-cnpg-3,t,0/30015AE8
1786211660,pg-cnpg-1,f,0/30015BA0
