run_id,system,scenario,rep,t_baseline_start_unix,t_inject_unix,t_heal_unix,t_run_end_unix,role_log,writer_log,count_before,max_id_before,rows_surviving,notes
cnpg_kill_rep001_20260810_202342,cnpg,kill,1,1786389832,1786389843,1786389903,1786389924,cnpg_kill_rep001_20260810_202342.role.csv,cnpg_kill_rep001_20260810_202342.writer.csv,191396,194139,191396,
cnpg_kill_rep002_20260810_202540,cnpg,kill,2,1786389950,1786389961,1786390021,1786390042,cnpg_kill_rep002_20260810_202540.role.csv,cnpg_kill_rep002_20260810_202540.writer.csv,191950,194725,191950,
cnpg_kill_rep003_20260810_202738,cnpg,kill,3,1786390068,1786390078,1786390139,1786390160,cnpg_kill_rep003_20260810_202738.role.csv,cnpg_kill_rep003_20260810_202738.writer.csv,192513,195320,192513,
cnpg_kill_rep004_20260810_202935,cnpg,kill,4,1786390186,1786390196,1786390257,1786390278,cnpg_kill_rep004_20260810_202935.role.csv,cnpg_kill_rep004_20260810_202935.writer.csv,193071,195910,193071,
cnpg_kill_rep005_20260810_203133,cnpg,kill,5,1786390338,1786390349,1786390409,1786390430,cnpg_kill_rep005_20260810_203133.role.csv,cnpg_kill_rep005_20260810_203133.writer.csv,193632,196503,193632,
cnpg_kill_rep006_20260810_203405,cnpg,kill,6,1786390456,1786390466,1786390526,1786390548,cnpg_kill_rep006_20260810_203405.role.csv,cnpg_kill_rep006_20260810_203405.writer.csv,194192,197064,194192,
cnpg_kill_rep007_20260810_203603,cnpg,kill,7,1786390574,1786390584,1786390645,1786390666,cnpg_kill_rep007_20260810_203603.role.csv,cnpg_kill_rep007_20260810_203603.writer.csv,194733,197637,194733,
cnpg_kill_rep008_20260810_203801,cnpg,kill,8,1786390692,1786390703,1786390763,1786390784,cnpg_kill_rep008_20260810_203801.role.csv,cnpg_kill_rep008_20260810_203801.writer.csv,195288,198224,195288,
cnpg_kill_rep009_20260810_204000,cnpg,kill,9,1786390810,1786390820,1786390881,1786390902,cnpg_kill_rep009_20260810_204000.role.csv,cnpg_kill_rep009_20260810_204000.writer.csv,195855,198823,195855,
cnpg_kill_rep010_20260810_204157,cnpg,kill,10,1786390961,1786390972,1786391032,1786391053,cnpg_kill_rep010_20260810_204157.role.csv,cnpg_kill_rep010_20260810_204157.writer.csv,196423,199423,196423,
cnpg_kill_rep011_20260810_204429,cnpg,kill,11,1786391079,1786391090,1786391150,1786391171,cnpg_kill_rep011_20260810_204429.role.csv,cnpg_kill_rep011_20260810_204429.writer.csv,196978,200010,196978,
cnpg_kill_rep012_20260810_204626,cnpg,kill,12,1786391197,1786391207,1786391268,1786391289,cnpg_kill_rep012_20260810_204626.role.csv,cnpg_kill_rep012_20260810_204626.writer.csv,197543,200607,197543,
cnpg_kill_rep013_20260810_204824,cnpg,kill,13,1786391315,1786391325,1786391385,1786391407,cnpg_kill_rep013_20260810_204824.role.csv,cnpg_kill_rep013_20260810_204824.writer.csv,198112,201208,198112,
cnpg_kill_rep014_20260810_205022,cnpg,kill,14,1786391432,1786391443,1786391503,1786391525,cnpg_kill_rep014_20260810_205022.role.csv,cnpg_kill_rep014_20260810_205022.writer.csv,198676,201804,198676,
cnpg_kill_rep015_20260810_205220,cnpg,kill,15,1786391584,1786391595,1786391655,1786391676,cnpg_kill_rep015_20260810_205220.role.csv,cnpg_kill_rep015_20260810_205220.writer.csv,199243,202402,199243,
cnpg_kill_rep016_20260810_205452,cnpg,kill,16,1786391702,1786391712,1786391773,1786391794,cnpg_kill_rep016_20260810_205452.role.csv,cnpg_kill_rep016_20260810_205452.writer.csv,199804,202995,199804,
cnpg_kill_rep017_20260810_205649,cnpg,kill,17,1786391820,1786391830,1786391890,1786391912,cnpg_kill_rep017_20260810_205649.role.csv,cnpg_kill_rep017_20260810_205649.writer.csv,200361,203584,200361,
cnpg_kill_rep018_20260810_205847,cnpg,kill,18,1786391937,1786391948,1786392008,1786392030,cnpg_kill_rep018_20260810_205847.role.csv,cnpg_kill_rep018_20260810_205847.writer.csv,200921,204176,200921,
cnpg_kill_rep019_20260810_210045,cnpg,kill,19,1786392055,1786392066,1786392126,1786392147,cnpg_kill_rep019_20260810_210045.role.csv,cnpg_kill_rep019_20260810_210045.writer.csv,201492,204779,201492,
cnpg_kill_rep020_20260810_210243,cnpg,kill,20,1786392208,1786392219,1786392279,1786392301,cnpg_kill_rep020_20260810_210243.role.csv,cnpg_kill_rep020_20260810_210243.writer.csv,202049,205360,202049,
cnpg_kill_rep021_20260810_210516,cnpg,kill,21,1786392327,1786392337,1786392398,1786392419,cnpg_kill_rep021_20260810_210516.role.csv,cnpg_kill_rep021_20260810_210516.writer.csv,202594,205937,202594,
cnpg_kill_rep022_20260810_210714,cnpg,kill,22,1786392444,1786392455,1786392515,1786392537,cnpg_kill_rep022_20260810_210714.role.csv,cnpg_kill_rep022_20260810_210714.writer.csv,203147,206522,203147,
cnpg_kill_rep023_20260810_210912,cnpg,kill,23,1786392562,1786392572,1786392632,1786392654,cnpg_kill_rep023_20260810_210912.role.csv,cnpg_kill_rep023_20260810_210912.writer.csv,203699,207106,203699,
cnpg_kill_rep024_20260810_211109,cnpg,kill,24,1786392680,1786392690,1786392750,1786392772,cnpg_kill_rep024_20260810_211109.role.csv,cnpg_kill_rep024_20260810_211109.writer.csv,204259,207698,204259,
cnpg_kill_rep025_20260810_211307,cnpg,kill,25,1786392831,1786392841,1786392901,1786392923,cnpg_kill_rep025_20260810_211307.role.csv,cnpg_kill_rep025_20260810_211307.writer.csv,204816,208287,204816,
cnpg_kill_rep026_20260810_211538,cnpg,kill,26,1786392948,1786392958,1786393019,1786393040,cnpg_kill_rep026_20260810_211538.role.csv,cnpg_kill_rep026_20260810_211538.writer.csv,205362,208865,205362,
cnpg_kill_rep027_20260810_211735,cnpg,kill,27,1786393066,1786393076,1786393137,1786393158,cnpg_kill_rep027_20260810_211735.role.csv,cnpg_kill_rep027_20260810_211735.writer.csv,205924,209459,205924,
cnpg_kill_rep028_20260810_211933,cnpg,kill,28,1786393183,1786393194,1786393254,1786393275,cnpg_kill_rep028_20260810_211933.role.csv,cnpg_kill_rep028_20260810_211933.writer.csv,206483,210050,206483,
cnpg_kill_rep029_20260810_212131,cnpg,kill,29,1786393301,1786393311,1786393372,1786393393,cnpg_kill_rep029_20260810_212131.role.csv,cnpg_kill_rep029_20260810_212131.writer.csv,207034,210604,207034,
cnpg_kill_rep030_20260810_212328,cnpg,kill,30,1786393452,1786393462,1786393523,1786393544,cnpg_kill_rep030_20260810_212328.role.csv,cnpg_kill_rep030_20260810_212328.writer.csv,207592,211194,207592,
cnpg_kill_rep031_20260810_212559,cnpg,kill,31,1786393570,1786393580,1786393640,1786393662,cnpg_kill_rep031_20260810_212559.role.csv,cnpg_kill_rep031_20260810_212559.writer.csv,208144,211778,208144,
cnpg_kill_rep032_20260810_212757,cnpg,kill,32,1786393688,1786393699,1786393759,1786393781,cnpg_kill_rep032_20260810_212757.role.csv,cnpg_kill_rep032_20260810_212757.writer.csv,208688,212354,208688,
cnpg_kill_rep033_20260810_212956,cnpg,kill,33,1786393809,1786393820,1786393880,1786393903,cnpg_kill_rep033_20260810_212956.role.csv,cnpg_kill_rep033_20260810_212956.writer.csv,209237,212935,209237,
cnpg_kill_rep034_20260810_213158,cnpg,kill,34,1786393929,1786393939,1786394000,1786394021,cnpg_kill_rep034_20260810_213158.role.csv,cnpg_kill_rep034_20260810_213158.writer.csv,209789,213519,209789,
cnpg_kill_rep035_20260810_213356,cnpg,kill,35,1786394081,1786394091,1786394152,1786394173,cnpg_kill_rep035_20260810_213356.role.csv,cnpg_kill_rep035_20260810_213356.writer.csv,210351,214113,210351,
cnpg_kill_rep036_20260810_213628,cnpg,kill,36,1786394199,1786394209,1786394270,1786394291,cnpg_kill_rep036_20260810_213628.role.csv,cnpg_kill_rep036_20260810_213628.writer.csv,210915,214709,210915,
cnpg_kill_rep037_20260810_213826,cnpg,kill,37,1786394317,1786394327,1786394388,1786394409,cnpg_kill_rep037_20260810_213826.role.csv,cnpg_kill_rep037_20260810_213826.writer.csv,211475,215300,211475,
cnpg_kill_rep038_20260810_214024,cnpg,kill,38,1786394435,1786394445,1786394505,1786394527,cnpg_kill_rep038_20260810_214024.role.csv,cnpg_kill_rep038_20260810_214024.writer.csv,212036,215862,212036,
cnpg_kill_rep039_20260810_214222,cnpg,kill,39,1786394552,1786394563,1786394623,1786394644,cnpg_kill_rep039_20260810_214222.role.csv,cnpg_kill_rep039_20260810_214222.writer.csv,212597,216455,212597,
cnpg_kill_rep040_20260810_214420,cnpg,kill,40,1786394709,1786394719,1786394780,1786394801,cnpg_kill_rep040_20260810_214420.role.csv,cnpg_kill_rep040_20260810_214420.writer.csv,213154,217044,213154,
