run_id,system,scenario,rep,t_baseline_start_unix,t_inject_unix,t_heal_unix,t_run_end_unix,role_log,writer_log,notes
cnpg_p1-full_rep001_20260809_004531,cnpg,p1-full,1,1786232742,1786232752,1786232814,1786232836,cnpg_p1-full_rep001_20260809_004531.role.csv,cnpg_p1-full_rep001_20260809_004531.writer.csv,
cnpg_p1-full_rep002_20260809_004716,cnpg,p1-full,2,1786232847,1786232857,1786232919,1786232942,cnpg_p1-full_rep002_20260809_004716.role.csv,cnpg_p1-full_rep002_20260809_004716.writer.csv,
cnpg_p1-full_rep003_20260809_004902,cnpg,p1-full,3,1786232952,1786232962,1786233024,1786233046,cnpg_p1-full_rep003_20260809_004902.role.csv,cnpg_p1-full_rep003_20260809_004902.writer.csv,
cnpg_p1-full_rep004_20260809_005046,cnpg,p1-full,4,1786233057,1786233067,1786233130,1786233152,cnpg_p1-full_rep004_20260809_005046.role.csv,cnpg_p1-full_rep004_20260809_005046.writer.csv,
cnpg_p1-full_rep005_20260809_005232,cnpg,p1-full,5,1786233197,1786233207,1786233270,1786233292,cnpg_p1-full_rep005_20260809_005232.role.csv,cnpg_p1-full_rep005_20260809_005232.writer.csv,
cnpg_p1-full_rep006_20260809_005452,cnpg,p1-full,6,1786233302,1786233312,1786233375,1786233397,cnpg_p1-full_rep006_20260809_005452.role.csv,cnpg_p1-full_rep006_20260809_005452.writer.csv,
cnpg_p1-full_rep007_20260809_005637,cnpg,p1-full,7,1786233408,1786233418,1786233480,1786233503,cnpg_p1-full_rep007_20260809_005637.role.csv,cnpg_p1-full_rep007_20260809_005637.writer.csv,
cnpg_p1-full_rep008_20260809_005823,cnpg,p1-full,8,1786233513,1786233523,1786233586,1786233608,cnpg_p1-full_rep008_20260809_005823.role.csv,cnpg_p1-full_rep008_20260809_005823.writer.csv,
cnpg_p1-full_rep009_20260809_010008,cnpg,p1-full,9,1786233618,1786233628,1786233691,1786233713,cnpg_p1-full_rep009_20260809_010008.role.csv,cnpg_p1-full_rep009_20260809_010008.writer.csv,
cnpg_p1-full_rep010_20260809_010153,cnpg,p1-full,10,1786233757,1786233767,1786233830,1786233852,cnpg_p1-full_rep010_20260809_010153.role.csv,cnpg_p1-full_rep010_20260809_010153.writer.csv,
cnpg_p1-full_rep011_20260809_010412,cnpg,p1-full,11,1786233862,1786233872,1786233935,1786233957,cnpg_p1-full_rep011_20260809_010412.role.csv,cnpg_p1-full_rep011_20260809_010412.writer.csv,
cnpg_p1-full_rep012_20260809_010557,cnpg,p1-full,12,1786233968,1786233978,1786234040,1786234062,cnpg_p1-full_rep012_20260809_010557.role.csv,cnpg_p1-full_rep012_20260809_010557.writer.csv,
cnpg_p1-full_rep013_20260809_010742,cnpg,p1-full,13,1786234073,1786234083,1786234145,1786234167,cnpg_p1-full_rep013_20260809_010742.role.csv,cnpg_p1-full_rep013_20260809_010742.writer.csv,
cnpg_p1-full_rep014_20260809_010927,cnpg,p1-full,14,1786234178,1786234188,1786234251,1786234273,cnpg_p1-full_rep014_20260809_010927.role.csv,cnpg_p1-full_rep014_20260809_010927.writer.csv,
cnpg_p1-full_rep015_20260809_011113,cnpg,p1-full,15,1786234317,1786234327,1786234389,1786234412,cnpg_p1-full_rep015_20260809_011113.role.csv,cnpg_p1-full_rep015_20260809_011113.writer.csv,
cnpg_p1-full_rep016_20260809_011332,cnpg,p1-full,16,1786234422,1786234432,1786234494,1786234517,cnpg_p1-full_rep016_20260809_011332.role.csv,cnpg_p1-full_rep016_20260809_011332.writer.csv,
cnpg_p1-full_rep017_20260809_011517,cnpg,p1-full,17,1786234527,1786234537,1786234599,1786234622,cnpg_p1-full_rep017_20260809_011517.role.csv,cnpg_p1-full_rep017_20260809_011517.writer.csv,
cnpg_p1-full_rep018_20260809_011702,cnpg,p1-full,18,1786234632,1786234642,1786234705,1786234727,cnpg_p1-full_rep018_20260809_011702.role.csv,cnpg_p1-full_rep018_20260809_011702.writer.csv,
cnpg_p1-full_rep019_20260809_011847,cnpg,p1-full,19,1786234738,1786234748,1786234810,1786234833,cnpg_p1-full_rep019_20260809_011847.role.csv,cnpg_p1-full_rep019_20260809_011847.writer.csv,
cnpg_p1-full_rep020_20260809_012033,cnpg,p1-full,20,1786234876,1786234886,1786234948,1786234971,cnpg_p1-full_rep020_20260809_012033.role.csv,cnpg_p1-full_rep020_20260809_012033.writer.csv,
cnpg_p1-full_rep021_20260809_012251,cnpg,p1-full,21,1786234981,1786234991,1786235054,1786235076,cnpg_p1-full_rep021_20260809_012251.role.csv,cnpg_p1-full_rep021_20260809_012251.writer.csv,
cnpg_p1-full_rep022_20260809_012436,cnpg,p1-full,22,1786235086,1786235096,1786235159,1786235181,cnpg_p1-full_rep022_20260809_012436.role.csv,cnpg_p1-full_rep022_20260809_012436.writer.csv,
cnpg_p1-full_rep023_20260809_012621,cnpg,p1-full,23,1786235192,1786235202,1786235264,1786235287,cnpg_p1-full_rep023_20260809_012621.role.csv,cnpg_p1-full_rep023_20260809_012621.writer.csv,
cnpg_p1-full_rep024_20260809_012807,cnpg,p1-full,24,1786235297,1786235307,1786235370,1786235392,cnpg_p1-full_rep024_20260809_012807.role.csv,cnpg_p1-full_rep024_20260809_012807.writer.csv,
cnpg_p1-full_rep025_20260809_012952,cnpg,p1-full,25,1786235436,1786235446,1786235509,1786235531,cnpg_p1-full_rep025_20260809_012952.role.csv,cnpg_p1-full_rep025_20260809_012952.writer.csv,
cnpg_p1-full_rep026_20260809_013211,cnpg,p1-full,26,1786235542,1786235552,1786235614,1786235636,cnpg_p1-full_rep026_20260809_013211.role.csv,cnpg_p1-full_rep026_20260809_013211.writer.csv,
