run_id,system,scenario,rep,t_baseline_start_unix,t_inject_unix,t_heal_unix,t_run_end_unix,role_log,writer_log,notes
cnpg_p1_rep001_20260808_233106,cnpg,p1,1,1786228277,1786228287,1786228348,1786228371,cnpg_p1_rep001_20260808_233106.role.csv,cnpg_p1_rep001_20260808_233106.writer.csv,
cnpg_p1_rep002_20260808_233251,cnpg,p1,2,1786228381,1786228391,1786228454,1786228476,cnpg_p1_rep002_20260808_233251.role.csv,cnpg_p1_rep002_20260808_233251.writer.csv,
cnpg_p1_rep003_20260808_233436,cnpg,p1,3,1786228487,1786228497,1786228558,1786228581,cnpg_p1_rep003_20260808_233436.role.csv,cnpg_p1_rep003_20260808_233436.writer.csv,
cnpg_p1_rep004_20260808_233621,cnpg,p1,4,1786228592,1786228602,1786228664,1786228687,cnpg_p1_rep004_20260808_233621.role.csv,cnpg_p1_rep004_20260808_233621.writer.csv,
cnpg_p1_rep005_20260808_233807,cnpg,p1,5,1786228731,1786228741,1786228802,1786228824,cnpg_p1_rep005_20260808_233807.role.csv,cnpg_p1_rep005_20260808_233807.writer.csv,
cnpg_p1_rep006_20260808_234024,cnpg,p1,6,1786228835,1786228845,1786228906,1786228929,cnpg_p1_rep006_20260808_234024.role.csv,cnpg_p1_rep006_20260808_234024.writer.csv,
cnpg_p1_rep007_20260808_234209,cnpg,p1,7,1786228940,1786228950,1786229012,1786229034,cnpg_p1_rep007_20260808_234209.role.csv,cnpg_p1_rep007_20260808_234209.writer.csv,
cnpg_p1_rep008_20260808_234354,cnpg,p1,8,1786229044,1786229054,1786229116,1786229138,cnpg_p1_rep008_20260808_234354.role.csv,cnpg_p1_rep008_20260808_234354.writer.csv,
cnpg_p1_rep009_20260808_234538,cnpg,p1,9,1786229148,1786229158,1786229220,1786229243,cnpg_p1_rep009_20260808_234538.role.csv,cnpg_p1_rep009_20260808_234538.writer.csv,
cnpg_p1_rep010_20260808_234723,cnpg,p1,10,1786229287,1786229297,1786229358,1786229381,cnpg_p1_rep010_20260808_234723.role.csv,cnpg_p1_rep010_20260808_234723.writer.csv,
cnpg_p1_rep011_20260808_234941,cnpg,p1,11,1786229391,1786229401,1786229463,1786229486,cnpg_p1_rep011_20260808_234941.role.csv,cnpg_p1_rep011_20260808_234941.writer.csv,
cnpg_p1_rep012_20260808_235126,cnpg,p1,12,1786229496,1786229506,1786229568,1786229590,cnpg_p1_rep012_20260808_235126.role.csv,cnpg_p1_rep012_20260808_235126.writer.csv,
cnpg_p1_rep013_20260808_235310,cnpg,p1,13,1786229601,1786229611,1786229673,1786229695,cnpg_p1_rep013_20260808_235310.role.csv,cnpg_p1_rep013_20260808_235310.writer.csv,
cnpg_p1_rep014_20260808_235455,cnpg,p1,14,1786229705,1786229715,1786229777,1786229800,cnpg_p1_rep014_20260808_235455.role.csv,cnpg_p1_rep014_20260808_235455.writer.csv,
cnpg_p1_rep015_20260808_235640,cnpg,p1,15,1786229845,1786229855,1786229917,1786229939,cnpg_p1_rep015_20260808_235640.role.csv,cnpg_p1_rep015_20260808_235640.writer.csv,
cnpg_p1_rep016_20260808_235859,cnpg,p1,16,1786229950,1786229960,1786230022,1786230044,cnpg_p1_rep016_20260808_235859.role.csv,cnpg_p1_rep016_20260808_235859.writer.csv,
cnpg_p1_rep017_20260809_000044,cnpg,p1,17,1786230055,1786230065,1786230127,1786230149,cnpg_p1_rep017_20260809_000044.role.csv,cnpg_p1_rep017_20260809_000044.writer.csv,
cnpg_p1_rep018_20260809_000229,cnpg,p1,18,1786230159,1786230169,1786230231,1786230254,cnpg_p1_rep018_20260809_000229.role.csv,cnpg_p1_rep018_20260809_000229.writer.csv,
cnpg_p1_rep019_20260809_000414,cnpg,p1,19,1786230264,1786230274,1786230336,1786230358,cnpg_p1_rep019_20260809_000414.role.csv,cnpg_p1_rep019_20260809_000414.writer.csv,
cnpg_p1_rep020_20260809_000558,cnpg,p1,20,1786230402,1786230412,1786230474,1786230496,cnpg_p1_rep020_20260809_000558.role.csv,cnpg_p1_rep020_20260809_000558.writer.csv,
cnpg_p1_rep021_20260809_000816,cnpg,p1,21,1786230507,1786230517,1786230578,1786230601,cnpg_p1_rep021_20260809_000816.role.csv,cnpg_p1_rep021_20260809_000816.writer.csv,
cnpg_p1_rep022_20260809_001001,cnpg,p1,22,1786230612,1786230622,1786230683,1786230706,cnpg_p1_rep022_20260809_001001.role.csv,cnpg_p1_rep022_20260809_001001.writer.csv,
cnpg_p1_rep023_20260809_001146,cnpg,p1,23,1786230716,1786230726,1786230788,1786230810,cnpg_p1_rep023_20260809_001146.role.csv,cnpg_p1_rep023_20260809_001146.writer.csv,
cnpg_p1_rep024_20260809_001330,cnpg,p1,24,1786230821,1786230831,1786230893,1786230915,cnpg_p1_rep024_20260809_001330.role.csv,cnpg_p1_rep024_20260809_001330.writer.csv,
cnpg_p1_rep025_20260809_001515,cnpg,p1,25,1786230959,1786230969,1786231031,1786231053,cnpg_p1_rep025_20260809_001515.role.csv,cnpg_p1_rep025_20260809_001515.writer.csv,
cnpg_p1_rep026_20260809_001733,cnpg,p1,26,1786231064,1786231074,1786231136,1786231158,cnpg_p1_rep026_20260809_001733.role.csv,cnpg_p1_rep026_20260809_001733.writer.csv,
cnpg_p1_rep027_20260809_001918,cnpg,p1,27,1786231169,1786231179,1786231240,1786231263,cnpg_p1_rep027_20260809_001918.role.csv,cnpg_p1_rep027_20260809_001918.writer.csv,
cnpg_p1_rep028_20260809_002103,cnpg,p1,28,1786231273,1786231283,1786231345,1786231367,cnpg_p1_rep028_20260809_002103.role.csv,cnpg_p1_rep028_20260809_002103.writer.csv,
cnpg_p1_rep029_20260809_002247,cnpg,p1,29,1786231378,1786231388,1786231449,1786231471,cnpg_p1_rep029_20260809_002247.role.csv,cnpg_p1_rep029_20260809_002247.writer.csv,
cnpg_p1_rep030_20260809_002431,cnpg,p1,30,1786231515,1786231525,1786231587,1786231610,cnpg_p1_rep030_20260809_002431.role.csv,cnpg_p1_rep030_20260809_002431.writer.csv,
cnpg_p1_rep031_20260809_002650,cnpg,p1,31,1786231621,1786231631,1786231692,1786231715,cnpg_p1_rep031_20260809_002650.role.csv,cnpg_p1_rep031_20260809_002650.writer.csv,
cnpg_p1_rep032_20260809_002835,cnpg,p1,32,1786231725,1786231735,1786231797,1786231819,cnpg_p1_rep032_20260809_002835.role.csv,cnpg_p1_rep032_20260809_002835.writer.csv,
cnpg_p1_rep033_20260809_003019,cnpg,p1,33,1786231830,1786231840,1786231901,1786231924,cnpg_p1_rep033_20260809_003019.role.csv,cnpg_p1_rep033_20260809_003019.writer.csv,
cnpg_p1_rep034_20260809_003204,cnpg,p1,34,1786231935,1786231945,1786232006,1786232029,cnpg_p1_rep034_20260809_003204.role.csv,cnpg_p1_rep034_20260809_003204.writer.csv,
cnpg_p1_rep035_20260809_003349,cnpg,p1,35,1786232079,1786232089,1786232151,1786232173,cnpg_p1_rep035_20260809_003349.role.csv,cnpg_p1_rep035_20260809_003349.writer.csv,
cnpg_p1_rep036_20260809_003613,cnpg,p1,36,1786232184,1786232194,1786232256,1786232278,cnpg_p1_rep036_20260809_003613.role.csv,cnpg_p1_rep036_20260809_003613.writer.csv,
cnpg_p1_rep037_20260809_003758,cnpg,p1,37,1786232289,1786232299,1786232360,1786232383,cnpg_p1_rep037_20260809_003758.role.csv,cnpg_p1_rep037_20260809_003758.writer.csv,
cnpg_p1_rep038_20260809_003943,cnpg,p1,38,1786232394,1786232404,1786232465,1786232488,cnpg_p1_rep038_20260809_003943.role.csv,cnpg_p1_rep038_20260809_003943.writer.csv,
cnpg_p1_rep039_20260809_004128,cnpg,p1,39,1786232498,1786232508,1786232570,1786232593,cnpg_p1_rep039_20260809_004128.role.csv,cnpg_p1_rep039_20260809_004128.writer.csv,
cnpg_p1_rep040_20260809_004313,cnpg,p1,40,1786232637,1786232647,1786232709,1786232731,cnpg_p1_rep040_20260809_004313.role.csv,cnpg_p1_rep040_20260809_004313.writer.csv,
