run_id,system,scenario,rep,t_baseline_start_unix,t_inject_unix,t_heal_unix,t_run_end_unix,role_log,writer_log,count_before,max_id_before,rows_surviving,notes
cnpg_p3-full_rep001_20260810_214656,cnpg,p3-full,1,1786394827,1786394837,1786394899,1786394939,cnpg_p3-full_rep001_20260810_214656.role.csv,cnpg_p3-full_rep001_20260810_214656.writer.csv,213704,217598,213704,
cnpg_p3-full_rep002_20260810_214859,cnpg,p3-full,2,1786394949,1786394960,1786395022,1786395071,cnpg_p3-full_rep002_20260810_214859.role.csv,cnpg_p3-full_rep002_20260810_214859.writer.csv,213919,217813,213919,
cnpg_p3-full_rep003_20260810_215111,cnpg,p3-full,3,1786395082,1786395092,1786395154,1786395202,cnpg_p3-full_rep003_20260810_215111.role.csv,cnpg_p3-full_rep003_20260810_215111.writer.csv,214143,218037,214143,
cnpg_p3-full_rep004_20260810_215322,cnpg,p3-full,4,1786395212,1786395223,1786395285,1786395328,cnpg_p3-full_rep004_20260810_215322.role.csv,cnpg_p3-full_rep004_20260810_215322.writer.csv,214379,218273,214379,
cnpg_p3-full_rep005_20260810_215528,cnpg,p3-full,5,1786395375,1786395386,1786395448,1786395509,cnpg_p3-full_rep005_20260810_215528.role.csv,cnpg_p3-full_rep005_20260810_215528.writer.csv,214559,218453,214559,
cnpg_p3-full_rep006_20260810_215829,cnpg,p3-full,6,1786395521,1786395532,1786395594,1786395618,cnpg_p3-full_rep006_20260810_215829.role.csv,cnpg_p3-full_rep006_20260810_215829.writer.csv,214758,218683,214758,
cnpg_p3-full_rep007_20260810_220018,cnpg,p3-full,7,1786395630,1786395641,1786395704,1786395727,cnpg_p3-full_rep007_20260810_220018.role.csv,cnpg_p3-full_rep007_20260810_220018.writer.csv,214995,218920,214995,
cnpg_p3-full_rep008_20260810_220207,cnpg,p3-full,8,1786395740,1786395750,1786395813,1786395836,cnpg_p3-full_rep008_20260810_220207.role.csv,cnpg_p3-full_rep008_20260810_220207.writer.csv,215224,219149,215224,
cnpg_p3-full_rep009_20260810_220356,cnpg,p3-full,9,1786395848,1786395859,1786395922,1786395945,cnpg_p3-full_rep009_20260810_220356.role.csv,cnpg_p3-full_rep009_20260810_220356.writer.csv,215459,219384,215459,
cnpg_p3-full_rep010_20260810_220545,cnpg,p3-full,10,1786395992,1786396003,1786396065,1786396089,cnpg_p3-full_rep010_20260810_220545.role.csv,cnpg_p3-full_rep010_20260810_220545.writer.csv,215690,219615,215690,
cnpg_p3-full_rep011_20260810_220809,cnpg,p3-full,11,1786396102,1786396112,1786396175,1786396199,cnpg_p3-full_rep011_20260810_220809.role.csv,cnpg_p3-full_rep011_20260810_220809.writer.csv,215935,219860,215935,
cnpg_p3-full_rep012_20260810_220959,cnpg,p3-full,12,1786396211,1786396222,1786396284,1786396308,cnpg_p3-full_rep012_20260810_220959.role.csv,cnpg_p3-full_rep012_20260810_220959.writer.csv,216172,220097,216172,
cnpg_p3-full_rep013_20260810_221148,cnpg,p3-full,13,1786396321,1786396331,1786396394,1786396418,cnpg_p3-full_rep013_20260810_221148.role.csv,cnpg_p3-full_rep013_20260810_221148.writer.csv,216409,220334,216409,
cnpg_p3-full_rep014_20260810_221338,cnpg,p3-full,14,1786396429,1786396440,1786396502,1786396525,cnpg_p3-full_rep014_20260810_221338.role.csv,cnpg_p3-full_rep014_20260810_221338.writer.csv,216643,220568,216643,
