"run_id","system","scenario","rep","failover_detected","rto_s","write_downtime_s","total_fail_duration_s","rpo_rows_lost","notes"
"cnpg_p1_rep001_20260808_233106","cnpg","p1","1","False","","0","","",""
"cnpg_p1_rep002_20260808_233251","cnpg","p1","2","False","","0","","",""
"cnpg_p1_rep003_20260808_233436","cnpg","p1","3","False","","0","","",""
"cnpg_p1_rep004_20260808_233621","cnpg","p1","4","False","","0","","",""
"cnpg_p1_rep005_20260808_233807","cnpg","p1","5","False","","0","","",""
"cnpg_p1_rep006_20260808_234024","cnpg","p1","6","False","","0","","",""
"cnpg_p1_rep007_20260808_234209","cnpg","p1","7","False","","0","","",""
"cnpg_p1_rep008_20260808_234354","cnpg","p1","8","False","","0","","",""
"cnpg_p1_rep009_20260808_234538","cnpg","p1","9","False","","0","","",""
"cnpg_p1_rep010_20260808_234723","cnpg","p1","10","False","","0","","",""
"cnpg_p1_rep011_20260808_234941","cnpg","p1","11","False","","0","","",""
"cnpg_p1_rep012_20260808_235126","cnpg","p1","12","False","","0","","",""
"cnpg_p1_rep013_20260808_235310","cnpg","p1","13","False","","0","","",""
"cnpg_p1_rep014_20260808_235455","cnpg","p1","14","False","","0","","",""
"cnpg_p1_rep015_20260808_235640","cnpg","p1","15","False","","0","","",""
"cnpg_p1_rep016_20260808_235859","cnpg","p1","16","False","","0","","",""
"cnpg_p1_rep017_20260809_000044","cnpg","p1","17","False","","0","","",""
"cnpg_p1_rep018_20260809_000229","cnpg","p1","18","False","","0","","",""
"cnpg_p1_rep019_20260809_000414","cnpg","p1","19","False","","0","","",""
"cnpg_p1_rep020_20260809_000558","cnpg","p1","20","False","","0","","",""
"cnpg_p1_rep021_20260809_000816","cnpg","p1","21","False","","0","","",""
"cnpg_p1_rep022_20260809_001001","cnpg","p1","22","False","","0","","",""
"cnpg_p1_rep023_20260809_001146","cnpg","p1","23","False","","0","","",""
"cnpg_p1_rep024_20260809_001330","cnpg","p1","24","False","","0","","",""
"cnpg_p1_rep025_20260809_001515","cnpg","p1","25","False","","0","","",""
"cnpg_p1_rep026_20260809_001733","cnpg","p1","26","False","","0","","",""
"cnpg_p1_rep027_20260809_001918","cnpg","p1","27","False","","0","","",""
"cnpg_p1_rep028_20260809_002103","cnpg","p1","28","False","","0","","",""
"cnpg_p1_rep029_20260809_002247","cnpg","p1","29","False","","0","","",""
"cnpg_p1_rep030_20260809_002431","cnpg","p1","30","False","","0","","",""
"cnpg_p1_rep031_20260809_002650","cnpg","p1","31","False","","0","","",""
"cnpg_p1_rep032_20260809_002835","cnpg","p1","32","False","","0","","",""
"cnpg_p1_rep033_20260809_003019","cnpg","p1","33","False","","0","","",""
"cnpg_p1_rep034_20260809_003204","cnpg","p1","34","False","","0","","",""
"cnpg_p1_rep035_20260809_003349","cnpg","p1","35","False","","0","","",""
"cnpg_p1_rep036_20260809_003613","cnpg","p1","36","False","","0","","",""
"cnpg_p1_rep037_20260809_003758","cnpg","p1","37","False","","0","","",""
"cnpg_p1_rep038_20260809_003943","cnpg","p1","38","False","","0","","",""
"cnpg_p1_rep039_20260809_004128","cnpg","p1","39","False","","0","","",""
"cnpg_p1_rep040_20260809_004313","cnpg","p1","40","False","","0","","",""
"cnpg_p1-full_rep001_20260809_004531","cnpg","p1-full","1","False","","61","","",""
"cnpg_p1-full_rep002_20260809_004716","cnpg","p1-full","2","False","","61","","",""
"cnpg_p1-full_rep003_20260809_004902","cnpg","p1-full","3","False","","61","","",""
"cnpg_p1-full_rep004_20260809_005046","cnpg","p1-full","4","False","","62","","",""
"cnpg_p1-full_rep005_20260809_005232","cnpg","p1-full","5","False","","61","","",""
"cnpg_p1-full_rep006_20260809_005452","cnpg","p1-full","6","False","","61","","",""
"cnpg_p1-full_rep007_20260809_005637","cnpg","p1-full","7","False","","61","","",""
"cnpg_p1-full_rep008_20260809_005823","cnpg","p1-full","8","False","","61","","",""
"cnpg_p1-full_rep009_20260809_010008","cnpg","p1-full","9","False","","61","","",""
"cnpg_p1-full_rep010_20260809_010153","cnpg","p1-full","10","False","","61","","",""
"cnpg_p1-full_rep011_20260809_010412","cnpg","p1-full","11","False","","62","","",""
"cnpg_p1-full_rep012_20260809_010557","cnpg","p1-full","12","False","","61","","",""
"cnpg_p1-full_rep013_20260809_010742","cnpg","p1-full","13","False","","61","","",""
"cnpg_p1-full_rep014_20260809_010927","cnpg","p1-full","14","False","","61","","",""
"cnpg_p1-full_rep015_20260809_011113","cnpg","p1-full","15","False","","61","","",""
"cnpg_p1-full_rep016_20260809_011332","cnpg","p1-full","16","False","","61","","",""
"cnpg_p1-full_rep017_20260809_011517","cnpg","p1-full","17","False","","61","","",""
"cnpg_p1-full_rep018_20260809_011702","cnpg","p1-full","18","False","","61","","",""
"cnpg_p1-full_rep019_20260809_011847","cnpg","p1-full","19","False","","61","","",""
"cnpg_p1-full_rep020_20260809_012033","cnpg","p1-full","20","False","","61","","",""
"cnpg_p1-full_rep021_20260809_012251","cnpg","p1-full","21","False","","61","","",""
"cnpg_p1-full_rep022_20260809_012436","cnpg","p1-full","22","False","","61","","",""
"cnpg_p1-full_rep023_20260809_012621","cnpg","p1-full","23","False","","61","","",""
"cnpg_p1-full_rep024_20260809_012807","cnpg","p1-full","24","False","","62","","",""
"cnpg_p1-full_rep025_20260809_012952","cnpg","p1-full","25","False","","61","","",""
"cnpg_p1-full_rep026_20260809_013211","cnpg","p1-full","26","False","","61","","",""
"cnpg_p1-full_rep027_20260809_013356","cnpg","p1-full","27","False","","61","","",""
"cnpg_p1-full_rep028_20260809_013541","cnpg","p1-full","28","False","","61","","",""
"cnpg_p1-full_rep029_20260809_013727","cnpg","p1-full","29","False","","61","","",""
"cnpg_p1-full_rep030_20260809_013912","cnpg","p1-full","30","False","","62","","",""
"cnpg_p1-full_rep031_20260809_014130","cnpg","p1-full","31","False","","61","","",""
"cnpg_p1-full_rep032_20260809_014315","cnpg","p1-full","32","False","","61","","",""
"cnpg_p1-full_rep033_20260809_014501","cnpg","p1-full","33","False","","61","","",""
"cnpg_p1-full_rep034_20260809_014646","cnpg","p1-full","34","False","","61","","",""
"cnpg_p1-full_rep035_20260809_014831","cnpg","p1-full","35","False","","61","","",""
"cnpg_p1-full_rep036_20260809_015050","cnpg","p1-full","36","False","","62","","",""
"cnpg_p1-full_rep037_20260809_015235","cnpg","p1-full","37","False","","62","","",""
"cnpg_p1-full_rep038_20260809_015420","cnpg","p1-full","38","False","","61","","",""
"cnpg_p1-full_rep039_20260809_015606","cnpg","p1-full","39","False","","61","","",""
"cnpg_p1-full_rep040_20260809_015751","cnpg","p1-full","40","False","","61","","",""
"cnpg_p2_rep001_20260809_020010","cnpg","p2","1","False","","0","","",""
"cnpg_p2_rep002_20260809_020153","cnpg","p2","2","False","","0","","",""
"cnpg_p2_rep003_20260809_020338","cnpg","p2","3","False","","0","","",""
"cnpg_p2_rep004_20260809_020523","cnpg","p2","4","False","","0","","",""
"cnpg_p2_rep005_20260809_020708","cnpg","p2","5","False","","0","","",""
"cnpg_p2_rep006_20260809_020926","cnpg","p2","6","False","","0","","",""
"cnpg_p2_rep007_20260809_021110","cnpg","p2","7","False","","0","","",""
"cnpg_p2_rep008_20260809_021254","cnpg","p2","8","False","","0","","",""
"cnpg_p2_rep009_20260809_021439","cnpg","p2","9","False","","0","","",""
"cnpg_p2_rep010_20260809_021623","cnpg","p2","10","False","","0","","",""
"cnpg_p2_rep011_20260809_021841","cnpg","p2","11","False","","0","","",""
"cnpg_p2_rep012_20260809_022025","cnpg","p2","12","False","","0","","",""
"cnpg_p2_rep013_20260809_022209","cnpg","p2","13","False","","0","","",""
"cnpg_p2_rep014_20260809_022354","cnpg","p2","14","False","","0","","",""
"cnpg_p2_rep015_20260809_022539","cnpg","p2","15","False","","0","","",""
"cnpg_p2_rep016_20260809_022757","cnpg","p2","16","False","","0","","",""
"cnpg_p2_rep017_20260809_022942","cnpg","p2","17","False","","0","","",""
"cnpg_p2_rep018_20260809_023126","cnpg","p2","18","False","","0","","",""
"cnpg_p2_rep019_20260809_023310","cnpg","p2","19","False","","0","","",""
"cnpg_p2_rep020_20260809_023455","cnpg","p2","20","False","","0","","",""
"cnpg_p2_rep021_20260809_023712","cnpg","p2","21","False","","0","","",""
"cnpg_p2_rep022_20260809_023856","cnpg","p2","22","False","","0","","",""
"cnpg_p2_rep023_20260809_024041","cnpg","p2","23","False","","0","","",""
"cnpg_p2_rep024_20260809_024225","cnpg","p2","24","False","","0","","",""
"cnpg_p2_rep025_20260809_024409","cnpg","p2","25","False","","0","","",""
"cnpg_p2_rep026_20260809_024627","cnpg","p2","26","False","","0","","",""
"cnpg_p2_rep027_20260809_024811","cnpg","p2","27","False","","0","","",""
"cnpg_p2_rep028_20260809_024956","cnpg","p2","28","False","","0","","",""
"cnpg_p2_rep029_20260809_025140","cnpg","p2","29","False","","0","","",""
"cnpg_p2_rep030_20260809_025325","cnpg","p2","30","False","","0","","",""
"cnpg_p2_rep031_20260809_025542","cnpg","p2","31","False","","0","","",""
"cnpg_p2_rep032_20260809_025726","cnpg","p2","32","False","","0","","",""
"cnpg_p2_rep033_20260809_025910","cnpg","p2","33","False","","0","","",""
"cnpg_p2_rep034_20260809_030054","cnpg","p2","34","False","","0","","",""
"cnpg_p2_rep035_20260809_030239","cnpg","p2","35","False","","0","","",""
"cnpg_p2_rep036_20260809_030456","cnpg","p2","36","False","","0","","",""
"cnpg_p2_rep037_20260809_030641","cnpg","p2","37","False","","0","","",""
"cnpg_p2_rep038_20260809_030825","cnpg","p2","38","False","","0","","",""
"cnpg_p2_rep039_20260809_031009","cnpg","p2","39","False","","0","","",""
"cnpg_p2_rep040_20260809_031153","cnpg","p2","40","False","","0","","",""
"cnpg_p2-full_rep001_20260809_031412","cnpg","p2-full","1","False","","61","","",""
"cnpg_p2-full_rep002_20260809_031557","cnpg","p2-full","2","False","","61","","",""
"cnpg_p2-full_rep003_20260809_031741","cnpg","p2-full","3","False","","61","","",""
"cnpg_p2-full_rep004_20260809_031925","cnpg","p2-full","4","False","","62","","",""
"cnpg_p2-full_rep005_20260809_032110","cnpg","p2-full","5","False","","61","","",""
"cnpg_p2-full_rep006_20260809_032328","cnpg","p2-full","6","False","","62","","",""
"cnpg_p2-full_rep007_20260809_032513","cnpg","p2-full","7","False","","61","","",""
"cnpg_p2-full_rep008_20260809_032658","cnpg","p2-full","8","False","","61","","",""
"cnpg_p2-full_rep009_20260809_032842","cnpg","p2-full","9","False","","61","","",""
"cnpg_p2-full_rep010_20260809_033026","cnpg","p2-full","10","False","","61","","",""
"cnpg_p2-full_rep011_20260809_033245","cnpg","p2-full","11","False","","61","","",""
"cnpg_p2-full_rep012_20260809_033429","cnpg","p2-full","12","False","","61","","",""
"cnpg_p2-full_rep013_20260809_033614","cnpg","p2-full","13","False","","61","","",""
"cnpg_p2-full_rep014_20260809_033758","cnpg","p2-full","14","False","","61","","",""
"cnpg_p2-full_rep015_20260809_033943","cnpg","p2-full","15","False","","61","","",""
"cnpg_p2-full_rep016_20260809_034201","cnpg","p2-full","16","False","","61","","",""
"cnpg_p2-full_rep017_20260809_034346","cnpg","p2-full","17","False","","61","","",""
"cnpg_p2-full_rep018_20260809_034531","cnpg","p2-full","18","False","","61","","",""
"cnpg_p2-full_rep019_20260809_034715","cnpg","p2-full","19","False","","61","","",""
"cnpg_p2-full_rep020_20260809_034900","cnpg","p2-full","20","False","","61","","",""
"cnpg_p2-full_rep021_20260809_035117","cnpg","p2-full","21","False","","61","","",""
"cnpg_p2-full_rep022_20260809_035301","cnpg","p2-full","22","False","","62","","",""
"cnpg_p2-full_rep023_20260809_035446","cnpg","p2-full","23","False","","61","","",""
"cnpg_p2-full_rep024_20260809_035631","cnpg","p2-full","24","False","","62","","",""
"cnpg_p2-full_rep025_20260809_035816","cnpg","p2-full","25","False","","61","","",""
"cnpg_p2-full_rep026_20260809_040033","cnpg","p2-full","26","False","","61","","",""
"cnpg_p2-full_rep027_20260809_040218","cnpg","p2-full","27","False","","61","","",""
"cnpg_p2-full_rep028_20260809_040402","cnpg","p2-full","28","False","","61","","",""
"cnpg_p2-full_rep029_20260809_040547","cnpg","p2-full","29","False","","61","","",""
"cnpg_p2-full_rep030_20260809_040732","cnpg","p2-full","30","False","","61","","",""
"cnpg_p2-full_rep031_20260809_040951","cnpg","p2-full","31","False","","61","","",""
"cnpg_p2-full_rep032_20260809_041135","cnpg","p2-full","32","False","","61","","",""
"cnpg_p2-full_rep033_20260809_041321","cnpg","p2-full","33","False","","61","","",""
"cnpg_p2-full_rep034_20260809_041506","cnpg","p2-full","34","False","","61","","",""
"cnpg_p2-full_rep035_20260809_041650","cnpg","p2-full","35","False","","62","","",""
"cnpg_p2-full_rep036_20260809_041908","cnpg","p2-full","36","False","","61","","",""
"cnpg_p2-full_rep037_20260809_042052","cnpg","p2-full","37","False","","62","","",""
"cnpg_p2-full_rep038_20260809_042237","cnpg","p2-full","38","False","","62","","",""
"cnpg_p2-full_rep039_20260809_042422","cnpg","p2-full","39","False","","61","","",""
"cnpg_p2-full_rep040_20260809_042606","cnpg","p2-full","40","False","","61","","",""
"cnpg_p3_rep001_20260809_042825","cnpg","p3","1","False","","0","","",""
"cnpg_p3_rep002_20260809_043109","cnpg","p3","2","False","","0","","",""
"cnpg_p3_rep003_20260809_043353","cnpg","p3","3","False","","0","","",""
"cnpg_p3_rep004_20260809_043637","cnpg","p3","4","False","","0","","",""
"cnpg_p3_rep005_20260809_043922","cnpg","p3","5","False","","0","","",""
"cnpg_p3_rep006_20260809_044241","cnpg","p3","6","False","","0","","",""
"cnpg_p3_rep007_20260809_044525","cnpg","p3","7","False","","0","","",""
"cnpg_p3_rep008_20260809_044810","cnpg","p3","8","False","","0","","",""
"cnpg_p3_rep009_20260809_045053","cnpg","p3","9","False","","0","","",""
"cnpg_p3_rep010_20260809_045338","cnpg","p3","10","False","","0","","",""
"cnpg_p3_rep011_20260809_045657","cnpg","p3","11","False","","0","","",""
"cnpg_p3_rep012_20260809_045942","cnpg","p3","12","False","","0","","",""
"cnpg_p3_rep013_20260809_050226","cnpg","p3","13","False","","0","","",""
"cnpg_p3_rep014_20260809_050511","cnpg","p3","14","False","","0","","",""
"cnpg_p3_rep015_20260809_050755","cnpg","p3","15","False","","0","","",""
"cnpg_p3_rep016_20260809_051113","cnpg","p3","16","False","","0","","",""
"cnpg_p3_rep017_20260809_051358","cnpg","p3","17","False","","0","","",""
"cnpg_p3_rep018_20260809_051643","cnpg","p3","18","False","","0","","",""
"cnpg_p3_rep019_20260809_051927","cnpg","p3","19","False","","0","","",""
"cnpg_p3_rep020_20260809_052211","cnpg","p3","20","False","","0","","",""
"cnpg_p3_rep021_20260809_052529","cnpg","p3","21","False","","0","","",""
"cnpg_p3_rep022_20260809_052813","cnpg","p3","22","False","","0","","",""
"cnpg_p3_rep023_20260809_053058","cnpg","p3","23","False","","0","","",""
"cnpg_p3_rep024_20260809_053343","cnpg","p3","24","False","","0","","",""
"cnpg_p3_rep025_20260809_053627","cnpg","p3","25","False","","0","","",""
"cnpg_p3_rep026_20260809_053945","cnpg","p3","26","False","","0","","",""
"cnpg_p3_rep027_20260809_054230","cnpg","p3","27","False","","0","","",""
"cnpg_p3_rep028_20260809_054514","cnpg","p3","28","False","","0","","",""
"cnpg_p3_rep029_20260809_054759","cnpg","p3","29","False","","0","","",""
"cnpg_p3_rep030_20260809_055044","cnpg","p3","30","False","","0","","",""
"cnpg_p3_rep031_20260809_055402","cnpg","p3","31","False","","0","","",""
"cnpg_p3_rep032_20260809_055647","cnpg","p3","32","False","","0","","",""
"cnpg_p3_rep033_20260809_055932","cnpg","p3","33","False","","0","","",""
"cnpg_p3_rep034_20260809_060216","cnpg","p3","34","False","","0","","",""
"cnpg_p3_rep035_20260809_060501","cnpg","p3","35","False","","0","","",""
"cnpg_p3_rep036_20260809_060819","cnpg","p3","36","False","","0","","",""
"cnpg_p3_rep037_20260809_061103","cnpg","p3","37","False","","0","","",""
"cnpg_p3_rep038_20260809_061347","cnpg","p3","38","False","","0","","",""
"cnpg_p3_rep039_20260809_061632","cnpg","p3","39","False","","0","","",""
"cnpg_p3_rep040_20260809_061916","cnpg","p3","40","False","","0","","",""
"cnpg_kill_rep001_20260810_202342","cnpg","kill","1","True","4","7","7","0",""
"cnpg_kill_rep002_20260810_202540","cnpg","kill","2","True","1","6","6","0",""
"cnpg_kill_rep003_20260810_202738","cnpg","kill","3","True","4","6","6","0",""
"cnpg_kill_rep004_20260810_202935","cnpg","kill","4","True","2","7","7","0",""
"cnpg_kill_rep005_20260810_203133","cnpg","kill","5","True","4","6","6","0",""
"cnpg_kill_rep006_20260810_203405","cnpg","kill","6","True","2","6","6","0",""
"cnpg_kill_rep007_20260810_203603","cnpg","kill","7","True","5","7","7","0",""
"cnpg_kill_rep008_20260810_203801","cnpg","kill","8","True","1","6","6","0",""
"cnpg_kill_rep009_20260810_204000","cnpg","kill","9","True","4","6","6","0",""
"cnpg_kill_rep010_20260810_204157","cnpg","kill","10","True","1","7","6","0",""
"cnpg_kill_rep011_20260810_204429","cnpg","kill","11","True","3","6","6","0",""
"cnpg_kill_rep012_20260810_204626","cnpg","kill","12","True","1","6","6","0",""
"cnpg_kill_rep013_20260810_204824","cnpg","kill","13","True","4","7","6","0",""
"cnpg_kill_rep014_20260810_205022","cnpg","kill","14","True","1","7","6","0",""
"cnpg_kill_rep015_20260810_205220","cnpg","kill","15","True","4","7","6","0",""
"cnpg_kill_rep016_20260810_205452","cnpg","kill","16","True","2","7","6","0",""
"cnpg_kill_rep017_20260810_205649","cnpg","kill","17","True","4","6","6","0",""
"cnpg_kill_rep018_20260810_205847","cnpg","kill","18","True","1","5","4","0",""
"cnpg_kill_rep019_20260810_210045","cnpg","kill","19","True","4","6","4","0",""
"cnpg_kill_rep020_20260810_210243","cnpg","kill","20","True","2","7","7","0",""
"cnpg_kill_rep021_20260810_210516","cnpg","kill","21","True","4","6","6","0",""
"cnpg_kill_rep022_20260810_210714","cnpg","kill","22","True","2","5","4","0",""
"cnpg_kill_rep023_20260810_210912","cnpg","kill","23","True","4","5","4","0",""
"cnpg_kill_rep024_20260810_211109","cnpg","kill","24","True","1","7","6","0",""
"cnpg_kill_rep025_20260810_211307","cnpg","kill","25","True","4","6","6","0",""
"cnpg_kill_rep026_20260810_211538","cnpg","kill","26","True","2","6","6","0",""
