run_id,system,scenario,rep,t_baseline_start_unix,t_inject_unix,t_heal_unix,t_run_end_unix,role_log,writer_log,notes
cnpg_p1_rep001_20260808_181538,cnpg,p1,1,1786209349,1786209359,1786209421,1786209446,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_p1_rep001_20260808_181538.role.csv,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_p1_rep001_20260808_181538.writer.csv,
cnpg_p1_rep002_20260808_181726,cnpg,p1,2,1786209457,1786209467,1786209530,1786209553,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_p1_rep002_20260808_181726.role.csv,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_p1_rep002_20260808_181726.writer.csv,
cnpg_p1_rep003_20260808_181913,cnpg,p1,3,1786209564,1786209574,1786209636,1786209659,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_p1_rep003_20260808_181913.role.csv,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_p1_rep003_20260808_181913.writer.csv,
cnpg_p1_rep004_20260808_182059,cnpg,p1,4,1786209670,1786209680,1786209742,1786209764,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_p1_rep004_20260808_182059.role.csv,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_p1_rep004_20260808_182059.writer.csv,
cnpg_p1_rep005_20260808_182244,cnpg,p1,5,1786209775,1786209785,1786209846,1786209869,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_p1_rep005_20260808_182244.role.csv,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_p1_rep005_20260808_182244.writer.csv,
cnpg_p1-full_rep001_20260808_182429,cnpg,p1-full,1,1786209879,1786209889,1786209952,1786209975,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_p1-full_rep001_20260808_182429.role.csv,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_p1-full_rep001_20260808_182429.writer.csv,
cnpg_p1-full_rep002_20260808_182615,cnpg,p1-full,2,1786209986,1786209996,1786210059,1786210081,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_p1-full_rep002_20260808_182615.role.csv,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_p1-full_rep002_20260808_182615.writer.csv,
cnpg_p1-full_rep003_20260808_182801,cnpg,p1-full,3,1786210091,1786210101,1786210164,1786210186,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_p1-full_rep003_20260808_182801.role.csv,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_p1-full_rep003_20260808_182801.writer.csv,
cnpg_p1-full_rep004_20260808_182946,cnpg,p1-full,4,1786210197,1786210207,1786210269,1786210291,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_p1-full_rep004_20260808_182946.role.csv,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_p1-full_rep004_20260808_182946.writer.csv,
cnpg_p1-full_rep005_20260808_183131,cnpg,p1-full,5,1786210302,1786210312,1786210374,1786210397,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_p1-full_rep005_20260808_183131.role.csv,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_p1-full_rep005_20260808_183131.writer.csv,
cnpg_p2_rep001_20260808_183317,cnpg,p2,1,1786210407,1786210417,1786210478,1786210501,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_p2_rep001_20260808_183317.role.csv,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_p2_rep001_20260808_183317.writer.csv,
cnpg_p2_rep002_20260808_183501,cnpg,p2,2,1786210511,1786210521,1786210582,1786210605,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_p2_rep002_20260808_183501.role.csv,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_p2_rep002_20260808_183501.writer.csv,
cnpg_p2_rep003_20260808_183645,cnpg,p2,3,1786210616,1786210626,1786210687,1786210710,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_p2_rep003_20260808_183645.role.csv,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_p2_rep003_20260808_183645.writer.csv,
cnpg_p2_rep004_20260808_183830,cnpg,p2,4,1786210720,1786210730,1786210792,1786210815,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_p2_rep004_20260808_183830.role.csv,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_p2_rep004_20260808_183830.writer.csv,
cnpg_p2_rep005_20260808_184015,cnpg,p2,5,1786210825,1786210835,1786210897,1786210919,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_p2_rep005_20260808_184015.role.csv,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_p2_rep005_20260808_184015.writer.csv,
cnpg_p2-full_rep001_20260808_184159,cnpg,p2-full,1,1786210930,1786210940,1786211002,1786211024,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_p2-full_rep001_20260808_184159.role.csv,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_p2-full_rep001_20260808_184159.writer.csv,
cnpg_p2-full_rep002_20260808_184344,cnpg,p2-full,2,1786211034,1786211044,1786211106,1786211128,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_p2-full_rep002_20260808_184344.role.csv,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_p2-full_rep002_20260808_184344.writer.csv,
cnpg_p2-full_rep003_20260808_184528,cnpg,p2-full,3,1786211139,1786211149,1786211211,1786211233,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_p2-full_rep003_20260808_184528.role.csv,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_p2-full_rep003_20260808_184528.writer.csv,
cnpg_p2-full_rep004_20260808_184713,cnpg,p2-full,4,1786211244,1786211254,1786211316,1786211338,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_p2-full_rep004_20260808_184713.role.csv,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_p2-full_rep004_20260808_184713.writer.csv,
cnpg_p2-full_rep005_20260808_184858,cnpg,p2-full,5,1786211382,1786211392,1786211454,1786211476,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_p2-full_rep005_20260808_184858.role.csv,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_p2-full_rep005_20260808_184858.writer.csv,
cnpg_p3_rep001_20260808_185116,cnpg,p3,1,1786211486,1786211496,1786211618,1786211640,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_p3_rep001_20260808_185116.role.csv,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_p3_rep001_20260808_185116.writer.csv,
cnpg_p3_rep002_20260808_185400,cnpg,p3,2,1786211651,1786211661,1786211782,1786211804,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_p3_rep002_20260808_185400.role.csv,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_p3_rep002_20260808_185400.writer.csv,
cnpg_p3_rep003_20260808_185644,cnpg,p3,3,1786211815,1786211825,1786211946,1786211969,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_p3_rep003_20260808_185644.role.csv,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_p3_rep003_20260808_185644.writer.csv,
cnpg_p3_rep004_20260808_185929,cnpg,p3,4,1786211979,1786211989,1786212111,1786212133,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_p3_rep004_20260808_185929.role.csv,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_p3_rep004_20260808_185929.writer.csv,
cnpg_p3_rep005_20260808_190213,cnpg,p3,5,1786212143,1786212153,1786212275,1786212297,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_p3_rep005_20260808_190213.role.csv,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_p3_rep005_20260808_190213.writer.csv,
cnpg_kill_rep001_20260808_190457,cnpg,kill,1,1786212308,1786212318,1786212378,1786212399,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_kill_rep001_20260808_190457.role.csv,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_kill_rep001_20260808_190457.writer.csv,
cnpg_kill_rep002_20260808_190654,cnpg,kill,2,1786212425,1786212435,1786212495,1786212516,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_kill_rep002_20260808_190654.role.csv,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_kill_rep002_20260808_190654.writer.csv,
cnpg_kill_rep003_20260808_190851,cnpg,kill,3,1786212542,1786212552,1786212612,1786212633,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_kill_rep003_20260808_190851.role.csv,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_kill_rep003_20260808_190851.writer.csv,
cnpg_kill_rep004_20260808_191048,cnpg,kill,4,1786212660,1786212670,1786212731,1786212791,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_kill_rep004_20260808_191048.role.csv,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_kill_rep004_20260808_191048.writer.csv,
cnpg_kill_rep005_20260808_192602,cnpg,kill,5,1786213618,1786213628,1786213698,1786213758,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_kill_rep005_20260808_192602.role.csv,C:\Users\HP\Documents\paper_9\results_cnpg\cnpg_kill_rep005_20260808_192602.writer.csv,
