run_id,system,scenario,rep,failover_detected,rto_s,write_downtime_s,rpo_lsn_gap,notes
cnpg_p1_rep001_20260808_181538,cnpg,p1,1,False,,0,,AUCUN_ECHEC_OBSERVE
cnpg_p1_rep002_20260808_181726,cnpg,p1,2,False,,0,,AUCUN_ECHEC_OBSERVE
cnpg_p1_rep003_20260808_181913,cnpg,p1,3,False,,0,,AUCUN_ECHEC_OBSERVE
cnpg_p1_rep004_20260808_182059,cnpg,p1,4,False,,0,,AUCUN_ECHEC_OBSERVE
cnpg_p1_rep005_20260808_182244,cnpg,p1,5,False,,0,,AUCUN_ECHEC_OBSERVE
cnpg_p1-full_rep001_20260808_182429,cnpg,p1-full,1,False,,62,,
cnpg_p1-full_rep002_20260808_182615,cnpg,p1-full,2,False,,61,,
cnpg_p1-full_rep003_20260808_182801,cnpg,p1-full,3,False,,61,,
cnpg_p1-full_rep004_20260808_182946,cnpg,p1-full,4,False,,61,,
cnpg_p1-full_rep005_20260808_183131,cnpg,p1-full,5,False,,61,,
cnpg_p2_rep001_20260808_183317,cnpg,p2,1,False,,0,,AUCUN_ECHEC_OBSERVE
cnpg_p2_rep002_20260808_183501,cnpg,p2,2,False,,0,,AUCUN_ECHEC_OBSERVE
cnpg_p2_rep003_20260808_183645,cnpg,p2,3,False,,0,,AUCUN_ECHEC_OBSERVE
cnpg_p2_rep004_20260808_183830,cnpg,p2,4,False,,0,,AUCUN_ECHEC_OBSERVE
cnpg_p2_rep005_20260808_184015,cnpg,p2,5,False,,0,,AUCUN_ECHEC_OBSERVE
cnpg_p2-full_rep001_20260808_184159,cnpg,p2-full,1,False,,62,,
cnpg_p2-full_rep002_20260808_184344,cnpg,p2-full,2,False,,61,,
cnpg_p2-full_rep003_20260808_184528,cnpg,p2-full,3,False,,62,,
cnpg_p2-full_rep004_20260808_184713,cnpg,p2-full,4,False,,62,,
cnpg_p2-full_rep005_20260808_184858,cnpg,p2-full,5,False,,62,,
cnpg_p3_rep001_20260808_185116,cnpg,p3,1,False,,93,,
cnpg_p3_rep002_20260808_185400,cnpg,p3,2,False,,6,,
cnpg_p3_rep003_20260808_185644,cnpg,p3,3,False,,2,,
cnpg_p3_rep004_20260808_185929,cnpg,p3,4,False,,2,,
cnpg_p3_rep005_20260808_190213,cnpg,p3,5,False,,105,,
cnpg_kill_rep001_20260808_190457,cnpg,kill,1,True,1,6,16691088,
cnpg_kill_rep002_20260808_190654,cnpg,kill,2,True,4,7,16617600,
cnpg_kill_rep003_20260808_190851,cnpg,kill,3,True,1,6,16653520,
cnpg_kill_rep004_20260808_191048,cnpg,kill,4,False,,,,ROLE_LOG_VIDE_OU_MANQUANT;WRITER_LOG_VIDE_OU_MANQUANT
cnpg_kill_rep005_20260808_192602,cnpg,kill,5,False,,,,ROLE_LOG_VIDE_OU_MANQUANT;WRITER_LOG_VIDE_OU_MANQUANT
